No,PE1,PE2,EE1,EE2,SI1,SI2,SE1,SE2,HM1,HM2,GM1,GM2,GM3,GU1,GU2,GU3,CITU1,CITU2,CITU3
1,5,5,5,5,5,1,3,3,4,4,4,4,4,4,4,4,3,3,3
2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3
4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2
5,4,4,5,4,4,3,4,4,3,3,3,3,3,4,4,4,4,3,3
6,4,4,5,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4
7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5
8,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
9,4,4,2,3,2,4,3,4,4,3,3,4,5,5,5,5,5,5,5
10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11,4,4,4,5,4,3,4,4,4,4,3,3,5,4,4,4,5,4,4
12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
13,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5
14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5
15,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
16,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
17,2,2,2,2,3,3,2,2,4,3,2,2,3,3,3,3,3,3,3
18,4,4,3,3,4,4,4,3,3,4,4,4,3,3,3,3,4,4,4
19,4,4,4,4,4,3,4,4,4,4,4,4,4,4,5,5,4,4,4
20,3,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,4,4,4
21,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5
22,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5
23,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,3,3,3
24,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26,4,4,4,3,5,5,3,2,5,4,4,2,5,5,5,3,2,2,2
27,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
28,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
29,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,5,5,5
30,3,3,3,3,3,3,3,3,4,4,4,4,3,4,4,4,3,3,3
31,5,4,3,3,5,3,4,4,5,5,2,5,5,5,5,5,4,3,3
32,3,3,3,3,3,3,4,3,4,3,4,4,5,4,4,3,3,3,3
33,3,3,2,3,3,2,3,3,4,5,5,5,4,3,3,3,4,4,4
34,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,4,4,4
35,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
36,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
37,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
38,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5
39,3,3,3,4,4,4,4,4,4,4,4,4,3,5,5,5,3,4,4
