No,PU1,PU2,PU3,PU4,PU5,PEOU1,PEOU2,PEOU3,PEOU4,AT1,AT2,AT3,AT4,CITU1,CITU2,CITU3,AU1,AU2,AU3,LT1,LT2,LT3,LT4,LT5,CO1,CO2,CO3,PS1,PS2,PS3,CT1,CT2,CT3,DB1,DB2,DB3,GSE1,GSE2,GSE3,GSE4,GSE5,GSE6,GSE7,GSE8
1,5,5,5,5,5,3,4,3,3,5,5,5,5,5,5,3,2,3,5,5,5,5,4,5,5,5,5,2,3,4,5,5,5,5,5,5,4,4,4,5,5,5,5,4
2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,3,3,3,2,4,4,4,4,4,4
3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,4
4,4,4,4,4,5,5,4,4,5,4,5,5,5,5,4,4,2,4,4,5,5,5,5,5,4,3,3,2,3,4,4,2,3,2,2,3,3,3,4,4,5,5,2,3
5,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,2,3,2,2,3,3,3,3,1,3,2,4,3,4,3
6,4,5,5,4,5,3,4,3,4,5,5,5,5,4,4,5,2,3,5,5,4,5,3,4,4,4,4,3,4,4,4,5,4,4,5,4,1,1,1,4,5,5,5,3
7,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,3,2,2,4,4,3,4,3
8,3,3,3,3,3,4,3,2,4,4,4,4,3,3,3,2,2,5,3,4,4,4,3,4,4,3,3,1,1,3,3,3,3,5,5,4,1,1,3,2,5,5,4,2
9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11,5,5,5,5,5,3,3,2,3,5,5,5,4,4,4,4,2,4,3,5,5,5,5,3,3,3,5,2,3,3,4,4,3,2,2,4,2,2,4,4,5,5,4,2
12,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,4,3,5,5,5,5,5,4,5,5,5,3,4,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3
13,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
14,3,3,3,5,5,4,5,3,4,5,5,5,5,4,4,4,2,4,3,5,5,5,4,4,5,4,4,4,4,4,5,5,5,5,5,5,2,2,2,5,4,4,4,2
15,4,4,4,5,5,4,4,4,4,5,5,5,5,5,5,5,3,4,4,5,5,5,5,5,5,5,5,4,4,4,5,5,5,4,4,4,4,3,4,4,4,5,4,3
16,4,4,4,5,4,3,3,3,3,5,5,4,3,4,4,3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4
17,2,2,2,2,2,2,2,2,2,4,4,4,4,3,3,3,1,5,3,2,3,1,1,2,3,3,3,1,1,1,1,1,1,1,1,1,1,2,2,3,5,3,5,2
18,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,5,3,5,5,5,5
19,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,1,3,3,4,4,4,2
20,3,5,3,5,4,4,4,4,4,5,5,4,5,5,4,4,1,5,3,5,4,4,5,4,5,4,4,2,2,2,3,2,2,2,2,2,1,1,3,4,5,5,5,3
21,4,4,5,5,5,3,4,4,5,5,5,5,5,5,4,4,3,4,5,5,4,5,4,4,5,3,4,4,4,5,5,5,5,4,4,4,4,4,5,4,5,5,5,3
22,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,3,4,3,3,4,4,4,4,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,4,4,4,4,4,4
23,4,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,5,5,5,3,3,3,4,4,4,4,4,4,4,1,3,3,3,5,4,4
24,4,5,4,5,5,4,4,4,4,4,5,5,4,5,4,4,3,5,4,3,4,3,4,4,4,4,4,3,2,3,4,4,4,3,3,3,2,2,3,4,5,5,5,3
25,4,4,4,4,4,3,3,3,3,3,5,4,3,4,4,3,2,2,1,3,4,2,2,3,4,4,2,1,1,1,2,2,1,2,1,1,3,2,4,3,4,4,5,4
26,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3
27,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,3,5,5,5,4,5,5,5,5,5,5,4,3,4,4,3,1,5,5,5,3,1,3,3,3,3,3,3
28,3,2,3,4,3,3,3,2,3,4,5,4,3,4,3,2,3,4,3,4,4,4,4,3,4,4,3,2,2,2,2,3,2,2,1,3,2,2,4,5,5,5,5,4
29,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,2,2,3,4,4,4,3,3,3,3,5,3,1,4,4,4,3
30,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,4,4,4,4,5,3,3,3,4,5,4,4,4
31,5,4,5,4,5,4,3,3,4,5,5,5,5,4,4,4,3,5,5,5,5,3,5,3,5,5,5,4,4,4,4,4,4,3,3,3,2,2,3,4,5,5,5,2
32,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,2,4,4,4,4,4,4,3,4,4,4,4,3,3,3,3,4,3,3,4,3,2,2,3,4,4,4,3
33,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,3,3,4,2,2,4,3,3,4,3,2
34,4,4,4,4,5,4,4,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4,4,3,2,2,3,3,3,3,3,3,3,3,4,4,5,4,5,4
35,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
36,3,3,3,3,3,3,3,3,3,4,3,4,3,4,3,3,3,3,4,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3
37,3,4,4,4,4,3,3,4,3,5,5,5,5,5,5,5,3,3,3,4,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,4,3,2,4,5,4,5,5,3
38,4,4,3,4,4,2,4,2,3,2,3,4,3,3,3,3,3,3,3,3,2,2,3,1,2,3,2,2,2,3,3,3,3,3,1,3,3,3,3,4,4,4,4,4
39,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
40,4,4,4,4,4,4,3,4,4,5,5,5,4,5,5,5,1,5,3,5,5,5,5,5,4,4,3,2,2,3,3,4,3,2,2,4,1,1,1,4,5,5,4,1
41,4,4,4,4,5,2,3,2,4,4,4,5,4,5,4,4,5,5,5,5,3,4,5,5,5,4,5,5,5,4,5,4,5,4,5,5,3,3,3,5,5,5,5,3
42,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,3,5,5,5,5,5,4,5,4,5,4,5,4,4,3,4,4,5,5,4,5,5,3,4,4,4,4,4,5
43,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,5,5,5,5,5
44,4,4,4,5,5,3,3,3,3,5,5,5,5,5,5,5,4,1,4,5,5,5,4,4,5,5,5,3,3,3,3,3,3,2,2,2,2,1,5,5,5,5,5,3
45,4,4,4,4,4,3,3,3,4,5,5,5,5,5,4,5,3,4,5,5,5,4,5,5,4,4,4,5,4,4,4,4,4,4,3,4,2,1,5,5,5,5,3,3
46,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
